author,title,container-title,publisher,editor,issued
"A. Asnaghi, S. M. Ladjevardi, P. Saleh Izadkhast, and A. H. Kashani",Thermodynamics performance analysis of solar Stirling engines.,ISRN Renewable Energy,,,2012
"M.Costea, M.Feidt, and S.Petrescu",Synthesison Stirling engine optimization.,Thermodynamic Optimization of Complex Energy Systems,,,1999
"R. Leutz, A. Suzuki, A. Akisawa, and T. Kashiwagi",Design of nonimaging Fresnel lens for solar concentrators.,Solar Energy,,,1999
G. Schmidt,Theorie der Lehmannschen Calorischen Maschine.,Zeit Des Vere-ines deutsch Ing,,,1871
J. D. Hunter,Matplotlib: a 2D graphics environment.,Computing In Science & Engineering,,,2007
C. Cheng and Y. Yu,Numerical model for predicting thermodynamic cycle and thermal efficiency of a beta-type Stirling engine with rhombic-drive mechanism.,Renewable Energy,,,2010
E. Eid,Performance of a beta-configuration heat engine having a regenerative displacer.,Renewable Energy,,,2009
V. Badescu,Maximum concentration ratio of direct solar radiation.,Journal of Applied Optics,,,1993
P. T. Landsberg and P. Baruch,The thermodynamics of the conversion of radiation energy for photovoltaics.,Journal of Physics A: Mathematical and General,,,1989
P. Baruch and J. E. Parrott,A thermodynamic cycle for photovoltaic energy conversion.,Journal of Physics D: Applied Physics,,,1990
P.J. Hession and W.J. Bonwick,Experience with a sun tracker system.,Solar Energy,,,1984
"P. Benitez, J. C. Mi nano, P. Zamora, R. Mohedano, A. Cvetkovic, M. Buljan, J. Chaves, and M. Hernandez",High performance Fresnel-based photo voltaic concentrator.,Optical Express,,,2010
"E.M. Kritchman, A.A. Friesem, and G. Yekutieli",Efficient Fresnel lens for solar concentration.,Solar Energy,,,1979
"K. L. Walker, C. Tarau, and W. G. Anderson",Alkali metal heat pipes for space fission power.,Nuclear and Emerging Technologies for Space,,,2013
L. Mason and C. Carmichael,A small fission power system with Stirling power conversion for NASA science missions.,Nuclear and Emerging Technologies for Space,,,2011
"I. I. Novikov, A. N. Solovyev, E. M. Khabakhpasheva, V. A. Gruzdev, A. I. Pridantsev, and M. Ya. Vasenina",Heat transfer and thermophysical properties of molten alkali metals.,The Soviet Journal of Atomic Energy,,,1956
"Greenbank, P.",The role of values in educational research: the case for reflexivity,British Educational Research Journal,,,2003
"Guskey, T.",Teacher efficacy - A study of construct dimensions.,American Educational Research Journal,,,1994
"Guthrie, J.W. & Springer, M.G.","""A Nation at Risk"" revisited: Did ""wrong"" reasoning result in ""right"" results? At what costs?",Peabody Journal of Education,,,2004
"Haefele, D.",Evaluating teachers: A call for change.,Journal of Personnel Evaluation in Education,,,1993
"Hallinger, P.",Changing norms of Principal leadership in the United States.,Journal of Educational Administration,,,1992
"Hallinger,",Leading educational change: Reflections on the practice of instructional and transformational leadership.,Cambridge Journal of Education,,,2003
"Hallinger, P., & Heck, R.H.",Reassessing the Principal's role in school effectiveness: A review of empirical research 1980-1996.,Educational Administration Quarterly,,,1996
"Heck, R.H., Larsen, T. & Marcoulides, G.",Instructional leadership and school achievement: Validation of a causal model.,Educational Administration Quarterly,,,1990
"Heck, R. H.",Towards the future rethinking the leadership role of the Principal as philosopher King.,Journal of Educational Administration,,,1991
"Heck, R.H.",Principals' instructional leadership and school performance; Implications for policy development.,Educational Evaluation and Policy Analysis,,,1992
"Heifetz, R.A., Kania, J.V., and Kramer, M.R.",Leading boldly.,Stanford Social Innovation Review,,,2004
"Howell, B.",Profile of the Principalship.,Educational Leadership,,,1981
"Kmetz, J. & Willower, D.",Elementary school Principals' work behavior.,Educational Administrative Quarterly,,,1982
"Krashen, S.",More smoke and mirrors: A critique of the National Reading Panel Report on fluency.,Phi Delta Kappan,,,2001
"Ladd, H.F. & Zelli, A.",School-based accountability in North Carolina: The responses of school Principals.,Educational Administration Quarterly,,,2002
"Lefcourt, H., Hugg, E., Struthers, S., & Holmes, C.",Casual attributes as a function of locus of control: Initial confidence and performance outcomes.,Journal of Personality and School Psychology,,,1975
"Leithwood, K.",Leadership for school restructuring.,Educational Administration Quarterly,,,1994
"Leithwood, A., Louis, K., Anderson, S., & Wahlstrom, K.",How leadership influences student learning: Review of research.,Minneapolis; Toronto: Center of Applied Research and Educational Improvement,,,2004
"LeVasseur, J.J.",The problem of bracketing in phenomenology.,Qualitative Health Research,,,2003
"Louis, K.S., Dretzke, B., & Wahlstrom, K.",How does leadership affect student achievement? Results from a national US survey.,School Effectiveness and School Improvement,,,2010
"Louis, K., & Miles, M. B.",Managing Reform: Lessons from Urban High Schools.,School Effectiveness & School Improvement,,,1991
"Martin, W. & Willower, D.",The managerial behavior of high school Principals.,Educational Administrative Quarterly,,,1981
"Maleyko, G. & Gawlik, M.A.",No Child Left Behind: What we know and what we need to know.,Education,,,2011
"McGhee, M.W., & Nelson, S.W.","Sacrificing leaders, villainizing leadership: How educational accountability policies impair school leadership.","Phi Delta Kappan,",,,2005
"Miller, R., & Irving, P.",Academic locus of control in British undergraduate students.,The British Journal of Educational Psychology,,,1995
"Murphy, J.","Methodological, measurement, and conceptual problems in the study of instructional leadership.",Educational Evaluation and Policy Analysis,,,1988
"Nevo, D.",How can teachers benefit from teacher evaluation?,Journal of Personal Evaluation in Education,,,1994
"Nye, B., Konstantopoulos, S., & Hedges, L.V.",How large are teacher effects?,Educational Evaluation and Policy Analyses,,,2004
"Orlich, D., Remaley, A., Facemyer, K., Logan, J. & Cao, Q.",Seeking the link between student achievement and staff development.,Journal of Staff Development,,,1993
"Peterson, K.",Research on school teacher evaluation.,NASSP Bulletin,,,2004
,Minimum competency testing.,Phi Delta Kappan,,"Pipho, C. (ed.).",1978
"Raudenbush, S.W., Bhumirat, C., Kamali, M.",Predictors and consequences of primary teachers' sense of efficacy and students' perceptions of teaching quality in Thailand.,International Journal of Educational Research,,,1992
"Reavis, C.A.",A test of the clinical supervision model.,The Journal of Educational Research,,,1977
"Ross, J.A.",Teacher efficacy and the effects of coaching on student achievement.,Canadian Journal of Education,,,1992
"Ross, J.A.",The impact of an inservice to promote cooperative learning on the stability of teacher efficacy.,Teaching and Teacher Education,,,1994
"Sagor, R.",Three principals who make a difference.,Educational Leadership,,,1992
,Sandia Report and U.S. Achievement: An Assessment,The Journal of Educational Research,,,1994
"Siens, C.M. & Ebneier, H.",Developmental supervision and the reflective thinking of teachers.,Journal of Curriculum and Supervsion,,,1996
"Smith, J., & Blase, J.",From empiricism to hermeneutics: Educational leadership as a practical and moral activity.,Journal of Educational Administration,,,1991
"Smyth, W.",Toward a critical consciousness in the instructional supervision of experienced teachers.,Curriculum Inquiry,,,1984
"Soar, R., Medley, D., & Coker, H.",Teacher evaluation: A critique of currently used methods.,Phi Delta Kappa,,,1983
"Stufflebeam, D., McKenna, B., & Nevo, D.",The school professionals guide to improving teacher evaluation systems.,"Kalamazoo, MI: Center for Research on Educaitonal Accountability and Teacher Evaluation (CREATE)",,,1994
"Teddlie, Kirby & Stringfield.",Effective versus ineffective schools: Observable differences in the classroom.,American Journal of Education,,,1989
"Tracy, S. J., & MacNaughton, R. H.",Clinical Supervision and the Emerging Conflict between the Neo-Traditionalists and the Neo-Progressives.,Journal Of Curriculum And Supervision,,,1989
"Tschannen-Moran, M., Hoy, A.W., Hoy, W.K.",Teacher efficacy: Its meaning and measure.,Review of Educational Research,,,1998
"Walker, J.J.",Georgia teachers list irritating supervisory habits.,Phi Delta Kappan,,,1976
"Waterman Jr., R. H., Peters, T. J., & Phillips, J. R.",Structure is not organization.,McKinsey Quarterly,,,1980
"Waters, J. T., Marzano, R. J., & McNulty, B. B.",Leadership That Sparks Learning.,Educational Leadership,,,2004
"Wilhite, S","Self-efficacy, locus of control, self assessment of memory ability, and study activities as predictors of college achievement.",Journal of Educational Psychology,,,1990
"Wimpelberg, R. K., Teddlie, C., & Stringfield, S.",Sensitivity to context: the past and future of effective schools research.,Educational Administration Quarterly,,,1989
"Arminen, I. and Leinonen, M.",Mobile phone call openings: tailoring answers to personalized summonses.,Discourse Studies,,,2006
"Bandura, A.",Human agency in social cognitive theory.,American Psychologist,,,1989
"Bandura, A.",Social cognitive theory: An agentic perspective.,Annual Review of Psychology,,,2001
"Bellotti, V., Ducheneaut, N., Howard, M., Smith, I., and Grinter, R. E.",Quality versus quantity: e-mail-centric task management and its relation with overload.,Hum. Comput. Interact.,,,2005
"Chase, N. and Clegg, B.",Effects of email utilization on higher education professionals.,International Journal of Technology and Human Interaction,,,2011
"Chen, G. M.",Tweet this: A uses and gratifications perspective on how active twitter use gratifies a need to connect with others.,Computers in Human Behavior,,,2011
"Clark, H. and Schaefer, E.",Contributing to discourse.,Cognitive Science,,,1989
"Czerwinski, M., Gage, D. W., Gemmell, J., Marshall, C. C., Perez-Quinones, M. A., Skeels, M. M., and Catarci, T.",Digital memories in an era of ubiquitous computing and abundant storage.,Commun. ACM,,,2006
"Ducheneaut, N. and Bellotti, V.",E-mail as habitat: an exploration of embedded personal information management.,interactions,,,2001
"Ducheneaut, N.andWatts, L.",In Search of Coherence: A Review of E-Mail Research.,Human-Computer Interaction,,,2005
"Fan, J., McCandliss, B., Sommer, T., Raz, A., and Posner, M.",Testing the efficiency and independence of attentional networks.,Journal of cognitive neuroscience,,,2002
"Flanagin, A. and Metzger, M.",Internet use in the contemporary media environment.,Human Communication Research,,,2001
"Goffman, E.",Interaction ritual: Essays in face-to-face behavior.,Aldine Transaction,,,1967
"Hemp, P.",Death by information overload.,Harvard business review,,,2009
"Jerejian, A., Reid, C., and Rees, C. S.","The contribution of email volume, email management strategies and propensity to worry in predicting email stress among academics.",Computers in Human Behavior,,,2013
"Langstedt, E.",An examination of the role of the communicator on gratifications attained on social network sites.,The Journal of Social Media in Society,,,2013
"Lansdale, M.",The psychology of personal information management.,Applied Ergonomics,,,1988
"LaRose, R. and Eastin, M. S.",A social cognitive theory of internet uses and gratifications: Toward a new model of media attendance.,Journal of Broadcasting & Electronic Media,,,2004
"Leung, L.",College student motives for chatting on icq.,New Media & Society,,,2001
"Mackay, W. E.",Diversity in the use of electronic mail: a preliminary inquiry.,ACM Trans. Inf. Syst.,,,1988
"Malone, T. W.",How do people organize their desks?: Implications for the design of office information systems.,ACM Trans. Inf. Syst.,,,1983
"McCrickard, D. S., Catrambone, R., Chewar, C. M., and Stasko, J. T.",Establishing tradeoffs that leverage attention for utility: empirically evaluating information display in notification systems,Int. J. Hum.-Comput. Stud,,,2003a
"McCrickard, D. S. and Chewar, C. M.",Attuning notification design to user goals and attention costs.,Commun. ACM,,,2003
"McCrickard, D. S., Chewar, C. M., Somervell, J. P., and Ndiwalana, A.",A model for notification systems evaluation–assessing user goals for multitasking activity.,ACM Trans. Comput.-Hum. Interact.,,,2003b
"McFarlane, D. C. and Latorella, K. A.",The scope and importance of human interruption in human-computer interaction design.,Hum.-Comput. Interact.,,,2002
"McMurtry, K.",Managing email overload in the workplace.,Performance Improvement,,,2014
"McQuail, D., blumler, J. G., and Brown, J. R.",The television audience: A revised perpective.,Sociology of Mass Communications,,,1972
"Nardi, B. A., Whittaker, S., Isaacs, E., Creech, M., Johnson, J., and Hainsworth, J.",Integrating communication and information through contactmap,Communications of the ACM,,,2002
"Norman, D. A. and Bobrow, D. G.",On data-limited and resource-limited processes.,Cognitive Psychology,,,1975
"Palmgreen, P. and II, J. R.",Uses and gratifications and exposure to public television: A discrepancy method.,Communication Research,,,1979
"Papacharissi, Z.andRubin, A.M.",Predictors of internet use.,Journal of Broadcasting & Electronic Media,,,2000
"Park, N., Kee, K. F., and Valenzuela, S.","Being immersed in social networking environment: Facebook groups, uses and gratifications, and social outcomes.",CyberPsychology & Behavior,,,2009
"Posner, M.",Orienting of attention.,Quarterly journal of experimental psychology,,,1980
"Reinke, K. and Chamorro-Premuzic, T.",When email use gets out of control: Understanding the relationship between personality and email overload and their impact on burnout and work engagement.,Computers in Human Behavior,,,2014
